"","File","RelativePath","Folder","Date","Time","ImageQuality","DeleteFlag","Note","Chamber_1","Chamber_2","Chamber_3","Chamber_4","Frame","datetime"
"119","Affiliation 20191213 01___2019-12-13_09-48-39-5597-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:48:40","Ok",FALSE,"","Left","Right","Left","Right",119,2019-12-13 09:48:40
"120","Affiliation 20191213 01___2019-12-13_09-48-44-5520-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:48:46","Ok",FALSE,"","Right","Right","Left","Right",120,2019-12-13 09:48:46
"121","Affiliation 20191213 01___2019-12-13_09-48-49-5463-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:48:50","Ok",FALSE,"","Right","Right","Neutral","Right",121,2019-12-13 09:48:50
"122","Affiliation 20191213 01___2019-12-13_09-48-54-5526-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:48:56","Ok",FALSE,"","Right","Right","Neutral","Right",122,2019-12-13 09:48:56
"123","Affiliation 20191213 01___2019-12-13_09-48-59-5469-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:00","Ok",FALSE,"","Right","Right","Neutral","Right",123,2019-12-13 09:49:00
"124","Affiliation 20191213 01___2019-12-13_09-49-04-5361-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:06","Ok",FALSE,"","Neutral","Right","Neutral","Right",124,2019-12-13 09:49:06
"125","Affiliation 20191213 01___2019-12-13_09-49-09-5474-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:10","Ok",FALSE,"","Right","Right","Neutral","Right",125,2019-12-13 09:49:10
"126","Affiliation 20191213 01___2019-12-13_09-49-14-5357-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:16","Ok",FALSE,"","Right","Right","Neutral","Right",126,2019-12-13 09:49:16
"127","Affiliation 20191213 01___2019-12-13_09-49-19-5610-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:20","Ok",FALSE,"","Right","Right","Neutral","Right",127,2019-12-13 09:49:20
"128","Affiliation 20191213 01___2019-12-13_09-49-24-5383-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:26","Ok",FALSE,"","Right","Right","Neutral","Right",128,2019-12-13 09:49:26
"129","Affiliation 20191213 01___2019-12-13_09-49-29-5626-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:30","Ok",FALSE,"","Right","Left","Neutral","Right",129,2019-12-13 09:49:30
"130","Affiliation 20191213 01___2019-12-13_09-49-34-5529-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:36","Ok",FALSE,"","Right","Left","Right","Right",130,2019-12-13 09:49:36
"131","Affiliation 20191213 01___2019-12-13_09-49-39-5591-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:40","Ok",FALSE,"","Right","Left","Right","Neutral",131,2019-12-13 09:49:40
"132","Affiliation 20191213 01___2019-12-13_09-49-44-5514-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:46","Ok",FALSE,"","Right","Left","Right","Neutral",132,2019-12-13 09:49:46
